"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 24 18:10:29 CST 2020","Fri Apr 24 18:10:30 CST 2020","231","case","test_api","TestCase","","","test_api[case_data1]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Wed May 06 14:00:33 CST 2020","Wed May 06 14:00:36 CST 2020","3533","case","test_purchase_order","TestCase","","","test_api[case_data3]","
        :param case_data: 单条测试用例数据
        :return:
        "
"broken","Fri Apr 24 18:15:46 CST 2020","Fri Apr 24 18:15:46 CST 2020","24","case","test_sales_order","TestCase","","","test_api[case_data2]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:12:16 CST 2020","Fri Apr 24 18:12:18 CST 2020","1580","case","test_api","TestCase","","","test_api[case_data11]","
        :param case_data: 单条测试用例数据
        :return:
        "
"failed","Fri Apr 24 18:14:34 CST 2020","Fri Apr 24 18:14:43 CST 2020","8897","case","test_api","TestCase","","","test_api[case_data29]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Fri Apr 24 18:13:17 CST 2020","Fri Apr 24 18:13:19 CST 2020","1969","case","test_api","TestCase","","","test_api[case_data18]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:50:51 CST 2020","Mon May 11 11:50:55 CST 2020","4436","case","test_allocation","TestCase","","","test_api[case_data16]","
        :param case_data: 测试用例
        :return:
        "
"passed","Fri Apr 24 18:13:19 CST 2020","Fri Apr 24 18:13:21 CST 2020","1738","case","test_api","TestCase","","","test_api[case_data19]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:49:21 CST 2020","Mon May 11 11:49:36 CST 2020","14759","case","test_allocation","TestCase","","","test_api[case_data0]","
        :param case_data: 测试用例
        :return:
        "
"passed","Wed May 06 14:00:11 CST 2020","Wed May 06 14:00:33 CST 2020","21054","case","test_purchase_order","TestCase","","","test_api[case_data2]","
        :param case_data: 单条测试用例数据
        :return:
        "
"passed","Mon May 11 11:49:46 CST 2020","Mon May 11 11:49:49 CST 2020","3613","case","test_allocation","TestCase","","","test_api[case_data4]","
        :param case_data: 测试用例
        :return:
        "
